geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
1037,-23.54562128,-46.63929205,sao paulo,SP
1046,-23.54608113,-46.6448203,sao paulo,SP
1041,-23.54439216,-46.63949931,sao paulo,SP
1035,-23.54157796,-46.64160722,sao paulo,SP
1012,-23.5477623,-46.63536054,são paulo,SP
1047,-23.54627311,-46.64122517,sao paulo,SP
1013,-23.54692321,-46.6342637,sao paulo,SP
1029,-23.54376906,-46.63427784,sao paulo,SP
1011,-23.54763955,-46.63603162,sao paulo,SP
1032,-23.5384181,-46.63477838,sao paulo,SP
1014,-23.54643534,-46.63383023,sao paulo,SP
1039,-23.54188301,-46.63991947,sao paulo,SP
1024,-23.54138952,-46.62989909,são paulo,SP
1009,-23.5469354,-46.63658793,sao paulo,SP
1020,-23.55223547,-46.62844066,são paulo,SP
1043,-23.54665672,-46.64078762,são paulo,SP
1050,-23.54977352,-46.64559901,sao paulo,SP
1045,-23.54159376,-46.64189379,sao paulo,SP
1007,-23.55039252,-46.63730164,sao paulo,SP
1005,-23.54981909,-46.63560589,sao paulo,SP
1017,-23.55001091,-46.63116637,são paulo,SP
1019,-23.55215188,-46.63080225,sao paulo,SP
1027,-23.53830117,-46.63076391,sao paulo,SP
1033,-23.5403213,-46.63639482,sao paulo,SP
1006,-23.55052431,-46.63669364,sao paulo,SP
1034,-23.54239163,-46.63770928,sao paulo,SP
1042,-23.5448736,-46.64030309,sao paulo,SP
1040,-23.54031676,-46.63735537,sao paulo,SP
1026,-23.5394948,-46.63284391,são paulo,SP
1036,-23.54170002,-46.64131782,sao paulo,SP
1048,-23.54744892,-46.64016924,são paulo,SP
1002,-23.54831798,-46.6354211,sao paulo,SP
1031,-23.53686412,-46.63349314,sao paulo,SP
1022,-23.54498661,-46.63345367,sao paulo,SP
1008,-23.54425493,-46.63463914,sao paulo,SP
1010,-23.54780696,-46.63612182,sao paulo,SP
1003,-23.54903245,-46.63531311,sao paulo,SP
1001,-23.549292,-46.63355948,sao paulo,SP
1015,-23.54482635,-46.63086956,sao paulo,SP
1038,-23.54267968,-46.63819684,sao paulo,SP
1016,-23.54849513,-46.63349063,sao paulo,SP
1049,-23.54530659,-46.63699457,sao paulo,SP
1021,-23.54516769,-46.63224868,sao paulo,SP
1018,-23.55021865,-46.63188,sao paulo,SP
1044,-23.54575105,-46.64132694,sao paulo,SP
1030,-23.5383639,-46.6329301,são paulo,SP
1025,-23.53992094,-46.62834793,sao paulo,SP
1004,-23.5501159,-46.63512161,sao paulo,SP
1023,-23.54260296,-46.63094284,sao paulo,SP
1028,-23.53602775,-46.63287853,sao paulo,SP
1155,-23.52878808,-46.6644042,sao paulo,SP
1122,-23.53128077,-46.63726039,são paulo,SP
1150,-23.5322553,-46.66275607,sao paulo,SP
1123,-23.52930718,-46.63490526,sao paulo,SP
1139,-23.52076038,-46.66138414,sao paulo,SP
1153,-23.5281187,-46.65645155,são paulo,SP
1104,-23.53521846,-46.62461223,sao paulo,SP
1136,-23.5235096,-46.66694417,são paulo,SP
1130,-23.52663823,-46.6438097,sao paulo,SP
1103,-23.53538865,-46.63174771,são paulo,SP
1156,-23.52982727,-46.66466606,são paulo,SP
1151,-23.52778819,-46.66030962,sao paulo,SP
1140,-23.51793017,-46.66742959,sao paulo,SP
1120,-23.53076049,-46.63921601,sao paulo,SP
1106,-23.53249636,-46.62640566,sao paulo,SP
1124,-23.52736739,-46.63188349,sao paulo,SP
1131,-23.52164183,-46.64747555,sao paulo,SP
